ordem;percentil;distancia_sexto_vizinho;distancia_geometrica_normalizada;eh_joelho
181;1.8001800180018002;0.04304219264097406;0.0029491509464109854;False
182;1.8101810181018103;0.04305868280552702;0.0030369103662740843;False
183;1.8201820182018202;0.04319404297061813;0.0030363609896014773;False
184;1.8301830183018304;0.0432154546555399;0.0031204642006740675;False
185;1.84018401840184;0.04323827285760513;0.003203522506928928;False
186;1.85018501850185;0.04332301748870157;0.003240575526763812;False
187;1.8601860186018602;0.04337375472035729;0.0033028927217843927;False
188;1.87018701870187;0.04337805982925266;0.003399704447493969;False
189;1.8801880188018802;0.043396779591521384;0.00348580749409093;False
190;1.8901890189018902;0.043396779591521384;0.0035858174950910305;False
191;1.9001900190019003;0.04346297202049337;0.003636652988512864;False
192;1.9101910191019102;0.0434699551654002;0.0037314751951160238;False
193;1.9201920192019204;0.04347764711940843;0.003825770825809068;False
194;1.93019301930193;0.043489561121572984;0.00391692988722548;False
195;1.94019401940194;0.04363047517809535;0.003912254511847025;False
196;1.9501950195019502;0.04380721121610809;0.003880966904108704;False
197;1.96019601960196;0.04380721121610809;0.0039809769051088045;False
198;1.9701970197019703;0.043820849891660636;0.004070854702702378;False
199;1.9801980198019802;0.04387426275330172;0.00413118416605885;False
200;1.9901990199019903;0.043894325570514064;0.0042162894540521585;False
201;2.0002000200020005;0.043914512442048595;0.004301302581804469;False
202;2.01020102010201;0.043930952025766565;0.004389099578286107;False
203;2.0202020202020203;0.04399636324114117;0.004440515437084486;False
204;2.03020302030203;0.044003823386762814;0.004534983278760566;False
205;2.04020402040204;0.04405542847677156;0.004596655739816543;False
206;2.0502050205020503;0.044062102768021603;0.004691707394511;False
207;2.06020602060206;0.044062102768021603;0.0047917173955111005;False
208;2.07020702070207;0.04406465233000314;0.004889833321056809;False
209;2.0802080208020803;0.044068691738965056;0.00498684243585747;False
210;2.0902090209020905;0.04415473055469322;0.005022934002955712;False
211;2.1002100210021;0.04429737726341981;0.005016971436273502;False
212;2.1102110211021103;0.04429737726341981;0.005116981437273602;False
213;2.12021202120212;0.044506814766799935;0.0050613998357733996;False
214;2.13021302130213;0.04450745680008374;0.005160932868771714;False
215;2.1402140214021403;0.044534439893977734;0.005240897067317025;False
216;2.15021502150215;0.04464103622890211;0.005261716406167953;False
217;2.16021602160216;0.044706190433302186;0.005313323199009859;False
218;2.1702170217021703;0.04477113063094685;0.005365088977962104;False
219;2.1802180218021805;0.04477659810573761;0.0054610371793771505;False
220;2.19021902190219;0.04480740598118991;0.005538159938914326;False
221;2.2002200220022003;0.044848897927721856;0.005607345477496892;False
222;2.21022102210221;0.04493674363992141;0.005642094697054702;False
223;2.22022202220222;0.04493674363992141;0.005742104698054803;False
224;2.23022302230223;0.04494350021273297;0.005837095225588146;False
225;2.24022402240224;0.044944324443940635;0.005936492903330176;False
226;2.25022502250225;0.04494689794658419;0.006034591043303061;False
227;2.2602260226022604;0.0449648688855984;0.006121250392416424;False
228;2.2702270227022705;0.04506266525111299;0.006148607248762181;False
229;2.28022802280228;0.04506266525111299;0.006248617249762282;False
230;2.2902290229022904;0.045170778025043025;0.006268310022591473;False
231;2.3002300230023005;0.04522844147973771;0.00632548171060154;False
232;2.31023102310231;0.04522844147973771;0.006425491711601637;False
233;2.32023202320232;0.04524032792296169;0.006516671246618328;False
234;2.33023302330233;0.04524773028815836;0.006611182013504892;False
235;2.34023402340234;0.04527596978919499;0.006690212824297;False
236;2.3502350235023504;0.045304171029778025;0.0067692720588680005;False
237;2.36023602360236;0.045347999112142066;0.0068367220767730046;False
